46408	Buffer Level	Buffer Control PID Delays
2.510015	0.000000	0.021800
2.519957	0.000000	0.021800
2.529964	0.000000	0.021800
2.539969	0.000000	0.021800
2.544820	0.000000	0.021800
2.550030	0.000000	0.021800
2.560040	0.000000	0.021800
2.570054	0.000000	0.021800
2.579988	0.000000	0.021800
2.589969	0.000000	0.021800
2.595822	0.000000	0.021800
2.599975	0.000000	0.021800
2.610008	0.000000	0.021800
2.619998	0.000000	0.021800
2.629974	0.000000	0.021800
2.639990	0.000000	0.021800
2.647364	0.000000	0.021800
2.649988	0.000000	0.021800
2.660071	0.000000	0.021800
2.669976	0.000000	0.021800
2.680014	0.000000	0.021800
2.690011	0.000000	0.021800
2.698969	0.000000	0.021800
2.700001	0.000000	0.021800
2.710032	0.000000	0.021800
2.720027	0.000000	0.021800
2.730030	0.000000	0.021800
2.740070	0.000000	0.021800
2.750024	0.000000	0.021800
2.750209	0.000000	0.021800
2.760025	0.000000	0.021800
2.770006	0.000000	0.021800
2.779991	0.000000	0.021800
2.789998	0.000000	0.021800
2.799982	0.000000	0.021800
2.801959	0.000000	0.021800
2.809971	0.000000	0.021800
2.820018	0.000000	0.021800
2.829992	0.000000	0.021800
2.839967	0.000000	0.021800
2.849965	0.000000	0.021800
2.852090	0.000000	0.021800
2.859997	0.000000	0.021800
2.870018	0.000000	0.021800
2.880020	0.000000	0.021800
2.890030	0.000000	0.021800
2.900032	0.000000	0.021800
2.903071	0.000000	0.021800
2.909996	0.000000	0.021800
2.920020	0.000000	0.021800
2.930018	0.000000	0.021800
2.940017	0.000000	0.021800
2.950031	0.000000	0.021800
2.953330	0.000000	0.021800
2.960020	0.000000	0.021800
2.970036	0.000000	0.021800
2.980056	0.000000	0.021800
2.990058	0.000000	0.021800
3.000010	0.000000	0.021800
3.005116	0.000000	0.021800
3.010033	0.000000	0.021800
3.020023	0.000000	0.021800
3.030026	0.000000	0.021800
3.040031	0.000000	0.021800
3.050033	0.000000	0.021800
3.055473	0.000000	0.021800
3.060004	0.000000	0.021800
3.070017	0.000000	0.021800
3.079968	0.000000	0.021800
3.089982	0.000000	0.021800
3.099987	0.000000	0.021800
3.107352	0.000000	0.021800
3.109989	0.000000	0.021800
3.119994	0.000000	0.021800
3.129986	0.000000	0.021800
3.139987	0.000000	0.021800
3.149992	0.000000	0.021800
3.157888	0.000000	0.021800
3.159970	0.000000	0.021800
3.169971	0.000000	0.021800
3.179985	0.000000	0.021800
3.189998	0.000000	0.021800
3.199989	0.000000	0.021800
3.207889	0.000000	0.021800
3.209996	0.000000	0.021800
3.219991	0.000000	0.021800
3.229996	0.000000	0.021800
3.240056	0.000000	0.021800
3.250043	0.000000	0.021800
3.259982	0.000000	0.021800
3.264982	0.000000	0.021800
3.269977	0.000000	0.021800
3.280335	0.000000	0.021800
3.289996	0.000000	0.021800
3.299959	0.000000	0.021800
3.309978	0.000000	0.021800
3.320013	0.000000	0.021800
3.329977	0.000000	0.021800
3.339973	0.000000	0.021800
3.349962	0.000000	0.021800
3.359978	0.000000	0.021800
3.370004	0.000000	0.021800
3.380041	0.000000	0.021800
3.390060	0.000000	0.021800
3.400095	0.000000	0.021800
3.410105	0.000000	0.021800
3.419986	0.000000	0.021800
3.430000	0.000000	0.021800
3.439998	0.000000	0.021800
3.449995	0.000000	0.021800
3.460034	0.000000	0.021800
3.470031	0.000000	0.021800
3.480021	0.000000	0.021800
3.490035	0.000000	0.021800
3.500015	0.000000	0.021800
3.315076	0.000000	0.021800
3.365886	0.000000	0.021800
3.416210	0.000000	0.021800
3.466213	0.000000	0.021800
