24230	Buffer Level	Buffer Control PID Delays
0.790048	0.000000	0.000000
0.800057	0.000000	0.000000
0.810058	0.000000	0.000000
0.820054	0.000000	0.000000
0.830049	0.000000	0.000000
0.840035	0.000000	0.000000
0.850039	0.000000	0.000000
0.860011	0.000000	0.000000
0.870031	0.000000	0.000000
0.880005	0.000000	0.000000
0.890014	0.000000	0.000000
0.900013	0.000000	0.000000
0.910016	0.000000	0.000000
0.920016	0.000000	0.000000
0.930018	0.000000	0.000000
0.940027	0.000000	0.000000
0.950051	0.000000	0.000000
0.960021	0.000000	0.000000
0.970004	0.000000	0.000000
0.980029	0.000000	0.000000
0.990003	0.000000	0.000000
1.000011	0.000000	0.000000
0.565577	0.000000	0.000000
0.616121	0.000000	0.000000
0.666438	0.000000	0.000000
0.716443	0.000000	0.000000
0.766470	0.000000	0.000000
0.817430	0.000000	0.000000
0.867505	0.000000	0.000000
0.917509	0.000000	0.000000
0.968407	0.000000	0.000000
1.018505	0.000000	0.000000
1.010048	0.000000	0.000000
1.020038	0.000000	0.000000
1.030061	0.000000	0.000000
1.040012	0.000000	0.000000
1.050006	0.000000	0.000000
1.060001	0.000000	0.000000
1.068763	0.000000	0.000000
1.070019	0.000000	0.000000
1.080001	0.000000	0.000000
1.090027	0.000000	0.000000
1.100008	0.000000	0.000000
1.110002	0.000000	0.000000
1.119696	0.000000	0.000000
1.120017	0.000000	0.000000
1.130018	0.000000	0.000000
1.140037	0.000000	0.000000
1.150001	0.000000	0.000000
1.160035	0.000000	0.000000
1.170003	0.000000	0.000000
1.171548	0.000000	0.000000
1.180024	0.000000	0.000000
1.190040	0.000000	0.000000
1.200040	0.000000	0.000000
1.210029	0.000000	0.000000
1.220031	0.000000	0.000000
1.221835	0.000000	0.000000
1.230025	0.000000	0.000000
1.240026	0.000000	0.000000
1.250017	0.000000	0.000000
1.260021	0.000000	0.000000
1.270041	0.000000	0.000000
1.280081	0.000000	0.000000
1.290036	0.000000	0.000000
1.300019	0.000000	0.000000
1.310004	0.000000	0.000000
1.320038	0.000000	0.000000
1.330058	0.000000	0.000000
1.340048	0.000000	0.000000
1.350055	0.000000	0.000000
1.360063	0.000000	0.000000
1.370036	0.000000	0.000000
1.380041	0.000000	0.000000
1.390032	0.000000	0.000000
1.400279	0.000000	0.000000
1.410016	0.000000	0.000000
1.420001	0.000000	0.000000
1.430008	0.000000	0.000000
1.440005	0.000000	0.000000
1.450063	0.000000	0.000000
1.460068	0.000000	0.000000
1.470013	0.000000	0.000000
1.480077	0.000000	0.000000
1.490002	0.000000	0.000000
1.500012	0.000000	0.000000
1.272640	0.000000	0.000000
1.323657	0.000000	0.000000
1.374641	0.000000	0.000000
1.424647	0.000000	0.000000
1.474650	0.000000	0.000000
1.525461	0.000000	0.000000
1.510126	0.000000	0.000000
1.520013	0.000000	0.000000
1.530075	0.000000	0.000000
