6664	Buffer Level	Buffer Control PID Delays
0.322855	0.000000	0.000000
0.332863	0.000000	0.000000
0.342833	0.000000	0.000000
0.352828	0.000000	0.000000
0.362843	0.000000	0.000000
0.372847	0.000000	0.000000
0.382903	0.000000	0.000000
0.392853	0.000000	0.000000
0.402860	0.000000	0.000000
0.412869	0.000000	0.000000
0.422866	0.000000	0.000000
0.432859	0.000000	0.000000
0.442855	0.000000	0.000000
0.452847	0.000000	0.000000
0.462831	0.000000	0.000000
0.472821	0.000000	0.000000
0.482813	0.000000	0.000000
0.492807	0.000000	0.000000
0.502803	0.000000	0.000000
0.512843	0.000000	0.000000
0.522804	0.000000	0.000000
0.532826	0.000000	0.000000
0.542820	0.000000	0.000000
0.552850	0.000000	0.000000
0.562804	0.000000	0.000000
0.572803	0.000000	0.000000
0.582820	0.000000	0.000000
0.592836	0.000000	0.000000
0.602832	0.000000	0.000000
0.612807	0.000000	0.000000
0.622835	0.000000	0.000000
0.626584	0.000000	0.000000
0.632891	0.000000	0.000000
0.642832	0.000000	0.000000
0.652828	0.000000	0.000000
0.662827	0.000000	0.000000
0.672813	0.000000	0.000000
0.677607	0.000000	0.000000
0.682827	0.000000	0.000000
0.692828	0.000000	0.000000
0.702826	0.000000	0.000000
0.712817	0.000000	0.000000
0.722828	0.000000	0.000000
0.727617	0.000000	0.000000
0.732820	0.000000	0.000000
0.742822	0.000000	0.000000
0.752828	0.000000	0.000000
0.762822	0.000000	0.000000
0.772805	0.000000	0.000000
0.780718	0.000000	0.000000
0.782803	0.000000	0.000000
0.793661	0.000000	0.000000
0.802971	0.000000	0.000000
0.812813	0.000000	0.000000
0.830720	0.000000	0.000000
0.881546	0.000000	0.000000
0.931773	0.000000	0.000000
0.982610	0.000000	0.000000
1.032657	0.000000	0.000000
1.083672	0.000000	0.000000
1.133906	0.000000	0.000000
1.184068	0.000000	0.000000
1.234941	0.000000	0.000000
1.286784	0.000000	0.000000
0.822857	0.000000	0.000000
0.832834	0.000000	0.000000
0.842809	0.000000	0.000000
0.852816	0.000000	0.000000
0.862809	0.000000	0.000000
0.872839	0.000000	0.000000
0.882868	0.000000	0.000000
0.892898	0.000000	0.000000
0.902853	0.000000	0.000000
0.912872	0.000000	0.000000
0.922847	0.000000	0.000000
0.933124	0.000000	0.000000
0.942826	0.000000	0.000000
0.952851	0.000000	0.000000
0.963145	0.000000	0.000000
0.972855	0.000000	0.000000
0.983118	0.000000	0.000000
0.992872	0.000000	0.000000
1.002857	0.000000	0.000000
1.012848	0.000000	0.000000
1.022839	0.000000	0.000000
1.032897	0.000000	0.000000
1.043030	0.000000	0.000000
1.052862	0.000000	0.000000
1.062814	0.000000	0.000000
1.072822	0.000000	0.000000
1.082841	0.000000	0.000000
1.092846	0.000000	0.000000
1.102830	0.000000	0.000000
1.112860	0.000000	0.000000
1.122810	0.000000	0.000000
1.132854	0.000000	0.000000
1.142808	0.000000	0.000000
1.152853	0.000000	0.000000
1.162824	0.000000	0.000000
1.172808	0.000000	0.000000
1.182830	0.000000	0.000000
1.192803	0.000000	0.000000
1.202804	0.000000	0.000000
1.212798	0.000000	0.000000
1.222799	0.000000	0.000000
1.232803	0.000000	0.000000
1.242842	0.000000	0.000000
1.252812	0.000000	0.000000
1.262805	0.000000	0.000000
1.272825	0.000000	0.000000
1.282819	0.000000	0.000000
1.292827	0.000000	0.000000
1.302856	0.000000	0.000000
1.312815	0.000000	0.000000
1.336788	0.000000	0.000000
1.388772	0.000000	0.000000
1.438778	0.000000	0.000000
1.490773	0.000000	0.000000
1.540819	0.000000	0.000000
1.590845	0.000000	0.000000
1.642789	0.000000	0.000000
1.692792	0.000000	0.000000
1.744794	0.000000	0.000000
1.322839	0.000000	0.000000
1.332807	0.000000	0.000000
1.342820	0.000000	0.000000
1.352811	0.000000	0.000000
1.362808	0.000000	0.000000
1.372838	0.000000	0.000000
1.382857	0.000000	0.000000
1.392810	0.000000	0.000000
1.402833	0.000000	0.000000
1.412831	0.000000	0.000000
1.422846	0.000000	0.000000
1.432829	0.000000	0.000000
1.442848	0.000000	0.000000
1.452849	0.000000	0.000000
1.462818	0.000000	0.000000
1.472831	0.000000	0.000000
1.482834	0.000000	0.000000
1.492853	0.000000	0.000000
1.502856	0.000000	0.000000
1.512868	0.000000	0.000000
1.522847	0.000000	0.000000
1.532854	0.000000	0.000000
1.542849	0.000000	0.000000
1.552848	0.000000	0.000000
1.562835	0.000000	0.000000
1.572825	0.000000	0.000000
1.582822	0.000000	0.000000
1.592803	0.000000	0.000000
1.602807	0.000000	0.000000
1.612815	0.000000	0.000000
1.622809	0.000000	0.000000
1.632874	0.000000	0.000000
1.642821	0.000000	0.000000
1.652821	0.000000	0.000000
1.662840	0.000000	0.000000
1.672822	0.000000	0.000000
1.682823	0.000000	0.000000
1.692807	0.000000	0.000000
1.702818	0.000000	0.000000
1.712802	0.000000	0.000000
1.722807	0.000000	0.000000
1.732818	0.000000	0.000000
1.742821	0.000000	0.000000
1.752804	0.000000	0.000000
1.762856	0.000000	0.000000
1.772820	0.000000	0.000000
1.782817	0.000000	0.000000
1.792824	0.000000	0.000000
1.802847	0.000000	0.000000
1.807664	0.000000	0.000000
